Lux,Humidity,Productivity,DateTime
166.58,62.90,0,10:55:54 7/7/2022
170.79,62.90,0,10:55:55 7/7/2022
167.98,62.10,0,10:55:56 7/7/2022
162.40,62.10,0,10:55:58 7/7/2022
166.58,61.60,0,10:55:59 7/7/2022
159.62,61.60,0,10:56:00 7/7/2022
162.40,61.20,0,10:56:01 7/7/2022
156.86,61.20,0,10:56:03 7/7/2022
155.48,61.00,0,10:56:04 7/7/2022
152.73,61.00,0,10:56:05 7/7/2022
151.36,60.80,0,10:56:06 7/7/2022
149.99,60.80,0,10:56:07 7/7/2022
147.27,60.70,0,10:56:09 7/7/2022
147.27,60.70,0,10:56:10 7/7/2022
145.91,60.60,0,10:56:11 7/7/2022
144.55,60.60,0,10:56:12 7/7/2022
145.91,60.50,0,10:56:13 7/7/2022
144.55,60.50,0,10:56:15 7/7/2022
144.55,60.50,0,10:56:16 7/7/2022
145.91,60.50,0,10:56:17 7/7/2022
145.91,60.40,0,10:56:18 7/7/2022
148.63,60.40,0,10:56:19 7/7/2022
148.63,60.20,0,10:56:21 7/7/2022
148.63,60.20,0,10:56:22 7/7/2022
149.99,60.20,0,10:56:23 7/7/2022
149.99,60.20,0,10:56:24 7/7/2022
152.73,60.10,0,10:56:25 7/7/2022
154.10,60.10,0,10:56:27 7/7/2022
155.48,60.00,0,10:56:28 7/7/2022
156.86,60.00,0,10:56:29 7/7/2022
155.48,60.00,0,10:56:30 7/7/2022
156.86,60.00,0,10:56:32 7/7/2022
155.48,59.90,0,10:56:33 7/7/2022
154.10,59.90,0,10:56:34 7/7/2022
154.10,59.80,0,10:56:35 7/7/2022
152.73,59.80,0,10:56:36 7/7/2022
154.10,59.70,0,10:56:38 7/7/2022
152.73,59.70,0,10:56:39 7/7/2022
152.73,59.70,0,10:56:40 7/7/2022
154.10,59.70,0,10:56:41 7/7/2022
152.73,59.60,0,10:56:42 7/7/2022
155.48,59.60,0,10:56:44 7/7/2022
154.10,59.50,0,10:56:45 7/7/2022
154.10,59.50,0,10:56:46 7/7/2022
154.10,59.40,0,10:56:47 7/7/2022
152.73,59.40,0,10:56:48 7/7/2022
151.36,59.40,0,10:56:50 7/7/2022
149.99,59.40,0,10:56:51 7/7/2022
151.36,59.40,0,10:56:52 7/7/2022
151.36,59.40,0,10:56:53 7/7/2022
149.99,59.30,0,10:56:54 7/7/2022
149.99,59.30,0,10:56:57 7/7/2022
149.99,59.20,0,10:56:58 7/7/2022
147.27,59.20,0,10:56:59 7/7/2022
147.27,59.20,0,10:57:00 7/7/2022
148.63,59.20,0,10:57:01 7/7/2022
147.27,59.10,0,10:57:03 7/7/2022
147.27,59.10,0,10:57:04 7/7/2022
147.27,59.00,0,10:57:05 7/7/2022
147.27,59.00,0,10:57:06 7/7/2022
147.27,59.00,0,10:57:07 7/7/2022
145.91,59.00,0,10:57:09 7/7/2022
147.27,58.90,0,10:57:10 7/7/2022
147.27,58.90,0,10:57:11 7/7/2022
147.27,58.90,0,10:57:12 7/7/2022
149.99,58.90,0,10:57:13 7/7/2022
151.36,58.80,0,10:57:15 7/7/2022
151.36,58.80,0,10:57:16 7/7/2022
154.10,58.70,0,10:57:17 7/7/2022
158.24,58.70,0,10:57:18 7/7/2022
162.40,58.70,0,10:57:19 7/7/2022
165.18,58.70,0,10:57:21 7/7/2022
172.19,58.70,0,10:57:22 7/7/2022
179.25,58.70,0,10:57:23 7/7/2022
182.09,58.70,0,10:57:24 7/7/2022
190.66,58.70,0,10:57:25 7/7/2022
194.96,58.50,0,10:57:27 7/7/2022
197.84,58.50,0,10:57:28 7/7/2022
203.61,58.50,0,10:57:29 7/7/2022
209.39,58.50,0,10:57:30 7/7/2022
213.75,58.50,0,10:57:32 7/7/2022
216.66,58.50,0,10:57:33 7/7/2022
219.61,58.50,0,10:57:34 7/7/2022
219.61,58.50,0,10:57:35 7/7/2022
221.11,58.50,0,10:57:36 7/7/2022
222.62,58.50,0,10:57:38 7/7/2022
225.67,58.40,0,10:57:39 7/7/2022
225.67,58.40,0,10:57:40 7/7/2022
225.67,58.30,0,10:57:41 7/7/2022
225.67,58.30,0,10:57:42 7/7/2022
224.14,58.30,0,10:57:44 7/7/2022
227.21,58.30,0,10:57:45 7/7/2022
225.67,58.30,0,10:57:46 7/7/2022
225.67,58.30,0,10:57:47 7/7/2022
225.67,58.30,0,10:57:48 7/7/2022
224.14,58.30,0,10:57:50 7/7/2022
224.14,58.20,0,10:57:51 7/7/2022
224.14,58.20,0,10:57:52 7/7/2022
222.62,58.20,0,10:57:53 7/7/2022
222.62,58.20,0,10:57:54 7/7/2022
219.61,58.20,0,10:57:56 7/7/2022
216.66,58.20,0,10:57:57 7/7/2022
215.20,58.20,0,10:57:58 7/7/2022
210.84,58.20,0,10:57:59 7/7/2022
207.95,58.10,0,10:58:01 7/7/2022
206.50,58.10,0,10:58:02 7/7/2022
206.50,58.00,0,10:58:03 7/7/2022
206.50,58.00,0,10:58:04 7/7/2022
207.95,58.00,0,10:58:05 7/7/2022
209.39,58.00,0,10:58:07 7/7/2022
210.84,58.00,0,10:58:08 7/7/2022
215.20,58.00,0,10:58:09 7/7/2022
218.13,58.00,0,10:58:10 7/7/2022
221.11,58.00,0,10:58:11 7/7/2022
222.62,58.00,0,10:58:13 7/7/2022
224.14,58.00,0,10:58:14 7/7/2022
222.62,57.90,0,10:58:15 7/7/2022
222.62,57.90,0,10:58:16 7/7/2022
224.14,57.90,0,10:58:17 7/7/2022
224.14,57.90,0,10:58:19 7/7/2022
222.62,57.80,0,10:58:20 7/7/2022
224.14,57.80,0,10:58:21 7/7/2022
224.14,57.70,0,10:58:22 7/7/2022
224.14,57.70,0,10:58:23 7/7/2022
224.14,57.60,0,10:58:25 7/7/2022
222.62,57.60,0,10:58:26 7/7/2022
219.61,57.60,0,10:58:27 7/7/2022
219.61,57.60,0,10:58:28 7/7/2022
219.61,57.50,0,10:58:30 7/7/2022
218.13,57.50,0,10:58:31 7/7/2022
216.66,57.40,0,10:58:32 7/7/2022
218.13,57.40,0,10:58:33 7/7/2022
216.66,57.40,0,10:58:34 7/7/2022
213.75,57.40,0,10:58:36 7/7/2022
213.75,57.40,0,10:58:37 7/7/2022
215.20,57.40,0,10:58:38 7/7/2022
212.30,57.40,0,10:58:39 7/7/2022
209.39,57.40,0,10:58:40 7/7/2022
209.39,57.30,0,10:58:42 7/7/2022
206.50,57.30,0,10:58:43 7/7/2022
203.61,57.40,0,10:58:44 7/7/2022
203.61,57.40,0,10:58:45 7/7/2022
202.16,57.40,0,10:58:46 7/7/2022
199.28,57.40,0,10:58:48 7/7/2022
199.28,57.40,0,10:58:49 7/7/2022
197.84,57.40,0,10:58:50 7/7/2022
194.96,57.20,0,10:58:51 7/7/2022
193.52,57.20,0,10:58:52 7/7/2022
189.22,57.20,0,10:58:54 7/7/2022
186.37,57.20,0,10:58:55 7/7/2022
184.94,57.20,0,10:58:56 7/7/2022
183.52,57.20,0,10:58:57 7/7/2022
186.37,57.20,0,10:58:59 7/7/2022
187.79,57.20,0,10:59:00 7/7/2022
186.37,57.10,0,10:59:01 7/7/2022
186.37,57.10,0,10:59:02 7/7/2022
180.67,57.00,0,10:59:03 7/7/2022
176.42,57.00,0,10:59:05 7/7/2022
173.60,56.90,0,10:59:06 7/7/2022
169.38,56.90,0,10:59:07 7/7/2022
166.58,56.80,0,10:59:08 7/7/2022
162.40,56.80,0,10:59:09 7/7/2022
163.79,56.80,0,10:59:11 7/7/2022
161.01,56.80,0,10:59:12 7/7/2022
159.62,56.70,0,10:59:13 7/7/2022
156.86,56.70,0,10:59:14 7/7/2022
156.86,56.70,0,10:59:15 7/7/2022
154.10,56.70,0,10:59:17 7/7/2022
151.36,56.70,0,10:59:18 7/7/2022
149.99,56.70,0,10:59:19 7/7/2022
145.91,56.60,0,10:59:20 7/7/2022
141.85,56.60,0,10:59:21 7/7/2022
140.51,56.60,0,10:59:23 7/7/2022
136.49,56.60,0,10:59:24 7/7/2022
133.83,56.70,0,10:59:25 7/7/2022
133.83,56.70,0,10:59:26 7/7/2022
131.18,56.70,0,10:59:28 7/7/2022
129.87,56.70,0,10:59:29 7/7/2022
129.87,56.70,0,10:59:30 7/7/2022
128.55,56.70,0,10:59:31 7/7/2022
129.87,56.60,0,10:59:32 7/7/2022
129.87,56.60,0,10:59:34 7/7/2022
128.55,56.60,0,10:59:35 7/7/2022
129.87,56.60,0,10:59:36 7/7/2022
131.18,56.60,0,10:59:37 7/7/2022
129.87,56.60,0,10:59:38 7/7/2022
129.87,56.60,0,10:59:40 7/7/2022
132.51,56.60,0,10:59:41 7/7/2022
132.51,56.50,0,10:59:42 7/7/2022
133.83,56.50,0,10:59:43 7/7/2022
133.83,56.50,0,10:59:44 7/7/2022
135.16,56.50,0,10:59:46 7/7/2022
135.16,56.50,0,10:59:47 7/7/2022
132.51,56.50,0,10:59:48 7/7/2022
133.83,56.50,0,10:59:49 7/7/2022
132.51,56.50,0,10:59:50 7/7/2022
129.87,56.40,0,10:59:52 7/7/2022
131.18,56.40,0,10:59:53 7/7/2022
131.18,56.20,0,10:59:54 7/7/2022
131.18,56.20,0,10:59:55 7/7/2022
132.51,56.20,0,10:59:57 7/7/2022
133.83,56.20,0,10:59:58 7/7/2022
133.83,56.20,0,10:59:59 7/7/2022
132.51,56.20,0,11:00:00 7/7/2022
135.16,56.10,0,11:00:01 7/7/2022
135.16,56.10,0,11:00:03 7/7/2022
135.16,56.10,0,11:00:04 7/7/2022
137.83,56.10,0,11:00:05 7/7/2022
139.17,56.20,0,11:00:06 7/7/2022
140.51,56.20,0,11:00:07 7/7/2022
144.55,56.20,0,11:00:09 7/7/2022
147.27,56.20,0,11:00:10 7/7/2022
151.36,56.10,0,11:00:11 7/7/2022
154.10,56.10,0,11:00:12 7/7/2022
155.48,56.00,0,11:00:13 7/7/2022
158.24,56.00,0,11:00:15 7/7/2022
159.62,56.00,0,11:00:16 7/7/2022
158.24,56.00,0,11:00:17 7/7/2022
162.40,56.00,0,11:00:18 7/7/2022
