Lux,Humidity,Productivity,DateTime
3100.30,57.50,0,10:17:56 7/7/2022
3170.70,58.20,0,10:17:57 7/7/2022
3147.10,58.20,0,10:17:59 7/7/2022
3147.10,58.00,0,10:18:00 7/7/2022
3077.10,58.00,0,10:18:01 7/7/2022
3100.30,58.00,0,10:18:02 7/7/2022
3054.20,58.00,0,10:18:03 7/7/2022
3100.30,57.90,0,10:18:05 7/7/2022
3054.20,57.90,0,10:18:06 7/7/2022
3077.10,57.90,0,10:18:07 7/7/2022
3077.10,57.90,0,10:18:08 7/7/2022
3054.20,57.80,0,10:18:09 7/7/2022
3100.30,57.80,0,10:18:11 7/7/2022
3077.10,57.80,0,10:18:12 7/7/2022
3100.30,57.80,0,10:18:13 7/7/2022
3100.30,57.80,0,10:18:14 7/7/2022
3054.20,57.80,0,10:18:15 7/7/2022
3077.10,57.90,0,10:18:17 7/7/2022
3100.30,57.90,0,10:18:18 7/7/2022
3077.10,57.90,0,10:18:19 7/7/2022
3077.10,57.90,0,10:18:20 7/7/2022
3100.30,57.90,0,10:18:22 7/7/2022
3077.10,57.90,0,10:18:23 7/7/2022
3077.10,57.90,0,10:18:24 7/7/2022
3123.60,57.90,0,10:18:25 7/7/2022
3123.60,57.80,0,10:18:26 7/7/2022
3077.10,57.80,0,10:18:28 7/7/2022
3100.30,57.80,0,10:18:29 7/7/2022
3100.30,57.80,0,10:18:30 7/7/2022
3077.10,57.90,0,10:18:31 7/7/2022
3147.10,57.90,0,10:18:32 7/7/2022
3147.10,58.00,0,10:18:34 7/7/2022
3077.10,58.00,0,10:18:35 7/7/2022
3100.30,58.00,0,10:18:36 7/7/2022
3147.10,58.00,0,10:18:37 7/7/2022
3147.10,58.00,0,10:18:38 7/7/2022
3123.60,58.00,0,10:18:40 7/7/2022
3147.10,58.20,0,10:18:41 7/7/2022
3147.10,58.20,0,10:18:42 7/7/2022
3123.60,58.30,0,10:18:43 7/7/2022
3170.70,58.30,0,10:18:44 7/7/2022
3170.70,58.50,0,10:18:46 7/7/2022
3147.10,58.50,0,10:18:47 7/7/2022
3147.10,58.50,0,10:18:48 7/7/2022
3194.60,58.50,0,10:18:49 7/7/2022
3194.60,58.60,0,10:18:51 7/7/2022
3147.10,58.60,0,10:18:52 7/7/2022
3170.70,58.70,0,10:18:53 7/7/2022
3194.60,58.70,0,10:18:54 7/7/2022
3194.60,58.80,0,10:18:55 7/7/2022
3170.70,58.80,0,10:18:57 7/7/2022
3218.60,58.90,0,10:18:58 7/7/2022
3194.60,58.90,0,10:18:59 7/7/2022
3194.60,59.00,0,10:19:00 7/7/2022
3218.60,59.00,0,10:19:01 7/7/2022
3242.80,59.10,0,10:19:03 7/7/2022
3194.60,59.10,0,10:19:04 7/7/2022
3218.60,59.20,0,10:19:05 7/7/2022
3242.80,59.20,0,10:19:06 7/7/2022
3242.80,59.20,0,10:19:07 7/7/2022
3218.60,59.20,0,10:19:09 7/7/2022
3242.80,59.30,0,10:19:10 7/7/2022
3242.80,59.30,0,10:19:11 7/7/2022
3218.60,59.30,0,10:19:12 7/7/2022
3267.20,59.30,0,10:19:13 7/7/2022
3267.20,59.40,0,10:19:15 7/7/2022
3242.80,59.40,0,10:19:16 7/7/2022
3242.80,59.50,0,10:19:17 7/7/2022
3291.80,59.50,0,10:19:18 7/7/2022
3267.20,59.60,0,10:19:20 7/7/2022
3291.80,59.60,0,10:19:21 7/7/2022
3291.80,59.70,0,10:19:22 7/7/2022
3267.20,59.70,0,10:19:23 7/7/2022
3267.20,59.70,0,10:19:24 7/7/2022
3316.50,59.70,0,10:19:26 7/7/2022
3291.80,59.70,0,10:19:27 7/7/2022
3291.80,59.70,0,10:19:28 7/7/2022
3316.50,59.80,0,10:19:29 7/7/2022
3267.20,59.80,0,10:19:30 7/7/2022
3267.20,59.80,0,10:19:32 7/7/2022
3316.50,59.80,0,10:19:33 7/7/2022
3316.50,59.80,0,10:19:34 7/7/2022
3291.80,59.80,0,10:19:35 7/7/2022
3316.50,59.80,0,10:19:36 7/7/2022
3291.80,59.80,0,10:19:38 7/7/2022
3267.20,59.90,0,10:19:39 7/7/2022
3341.50,59.90,0,10:19:40 7/7/2022
3316.50,59.90,0,10:19:41 7/7/2022
3291.80,59.90,0,10:19:42 7/7/2022
3316.50,60.00,0,10:19:44 7/7/2022
3316.50,60.00,0,10:19:45 7/7/2022
3291.80,60.10,0,10:19:46 7/7/2022
3316.50,60.10,0,10:19:47 7/7/2022
3341.50,60.00,0,10:19:49 7/7/2022
3291.80,60.00,0,10:19:50 7/7/2022
3316.50,60.00,0,10:19:51 7/7/2022
3341.50,60.00,0,10:19:52 7/7/2022
3291.80,60.10,0,10:19:53 7/7/2022
3316.50,60.10,0,10:19:55 7/7/2022
3341.50,60.20,0,10:19:56 7/7/2022
3291.80,60.20,0,10:19:57 7/7/2022
3291.80,60.40,0,10:19:58 7/7/2022
3341.50,60.40,0,10:19:59 7/7/2022
3291.80,60.50,0,10:20:01 7/7/2022
3341.50,60.50,0,10:20:02 7/7/2022
3341.50,60.60,0,10:20:03 7/7/2022
3291.80,60.60,0,10:20:04 7/7/2022
3316.50,60.60,0,10:20:05 7/7/2022
3316.50,60.60,0,10:20:07 7/7/2022
3291.80,60.60,0,10:20:08 7/7/2022
3341.50,60.60,0,10:20:09 7/7/2022
3341.50,60.80,0,10:20:10 7/7/2022
3291.80,60.80,0,10:20:11 7/7/2022
3341.50,60.90,0,10:20:13 7/7/2022
3291.80,60.90,0,10:20:14 7/7/2022
3316.50,60.90,0,10:20:15 7/7/2022
3291.80,60.90,0,10:20:16 7/7/2022
3291.80,61.00,0,10:20:18 7/7/2022
3316.50,61.00,0,10:20:19 7/7/2022
3291.80,61.10,0,10:20:20 7/7/2022
3316.50,61.10,0,10:20:21 7/7/2022
3316.50,61.20,0,10:20:22 7/7/2022
3267.20,61.20,0,10:20:24 7/7/2022
3291.80,61.20,0,10:20:25 7/7/2022
3316.50,61.20,0,10:20:26 7/7/2022
3291.80,61.30,0,10:20:27 7/7/2022
3291.80,61.30,0,10:20:28 7/7/2022
3316.50,61.40,0,10:20:30 7/7/2022
3267.20,61.40,0,10:20:31 7/7/2022
3267.20,61.50,0,10:20:32 7/7/2022
3316.50,61.50,0,10:20:33 7/7/2022
3316.50,61.60,0,10:20:34 7/7/2022
